# Datum, Zeit, Kommentar
23.01.2023, 1h, Recherche VS Code Extension
27.01.2023,3h, Tutorial VS Code Extension
27.01.2023, 2h, Recherche VS Code Extension
28.01.2023,3h, Coding: Playing around with Extension
29.01.2023, 4h, Coding: Playing around with Extension
31.01.2023,1h,Diagram
